Date,Price,Open,High,Low,Change
29-Dec-16,1.2263,1.2228,1.228,1.2212,0.30%
28-Dec-16,1.2226,1.2269,1.2298,1.2199,-0.37%
27-Dec-16,1.2271,1.2284,1.229,1.2237,-0.14%
26-Dec-16,1.2288,1.2269,1.2314,1.2264,-0.03%
23-Dec-16,1.2292,1.2283,1.23,1.2228,0.07%
22-Dec-16,1.2283,1.235,1.2379,1.2274,-0.57%
21-Dec-16,1.2354,1.2364,1.2393,1.2323,-0.11%
20-Dec-16,1.2367,1.2401,1.2414,1.2313,-0.27%
19-Dec-16,1.24,1.2493,1.2504,1.2355,-0.78%
16-Dec-16,1.2497,1.2427,1.2519,1.2389,0.63%
15-Dec-16,1.2419,1.256,1.2572,1.2376,-1.16%
14-Dec-16,1.2565,1.266,1.2721,1.2529,-0.73%
13-Dec-16,1.2658,1.2675,1.2729,1.2651,-0.17%
12-Dec-16,1.268,1.2575,1.2704,1.2556,0.83%
9-Dec-16,1.2576,1.2588,1.2622,1.255,-0.08%
8-Dec-16,1.2586,1.2626,1.2706,1.2547,-0.29%
7-Dec-16,1.2622,1.2678,1.2685,1.2569,-0.43%
6-Dec-16,1.2677,1.2729,1.2776,1.2655,-0.45%
5-Dec-16,1.2734,1.2727,1.2746,1.2624,0.04%
2-Dec-16,1.2729,1.2599,1.2747,1.2574,1.08%
1-Dec-16,1.2593,1.2506,1.2697,1.25,0.71%
30-Nov-16,1.2504,1.249,1.2523,1.2416,0.11%
29-Nov-16,1.249,1.2414,1.2527,1.2386,0.60%
28-Nov-16,1.2416,1.247,1.2534,1.2384,-0.49%
25-Nov-16,1.2477,1.245,1.2491,1.2416,0.20%
24-Nov-16,1.2452,1.2442,1.25,1.2402,0.10%
23-Nov-16,1.244,1.2425,1.247,1.2359,0.13%
22-Nov-16,1.2424,1.2497,1.2514,1.2383,-0.56%
21-Nov-16,1.2494,1.2348,1.2515,1.2311,1.20%
18-Nov-16,1.2346,1.2418,1.2439,1.23,-0.56%
17-Nov-16,1.2416,1.2443,1.2506,1.2407,-0.22%
16-Nov-16,1.2443,1.2456,1.2504,1.241,-0.10%
15-Nov-16,1.2456,1.2489,1.2531,1.2382,-0.25%
14-Nov-16,1.2487,1.2593,1.2614,1.2441,-0.90%
11-Nov-16,1.2601,1.2555,1.2675,1.2523,0.37%
10-Nov-16,1.2555,1.2405,1.2585,1.2374,1.20%
9-Nov-16,1.2406,1.2373,1.2549,1.2351,0.21%
8-Nov-16,1.238,1.2393,1.2443,1.2361,-0.15%
7-Nov-16,1.2398,1.2513,1.2527,1.2379,-0.97%
4-Nov-16,1.2519,1.2462,1.2559,1.2448,0.46%
3-Nov-16,1.2462,1.2302,1.2496,1.2295,1.29%
2-Nov-16,1.2303,1.2243,1.236,1.2224,0.49%
1-Nov-16,1.2243,1.2237,1.2282,1.2206,-0.01%
31-Oct-16,1.2244,1.2179,1.2251,1.2143,0.48%
28-Oct-16,1.2185,1.2164,1.2217,1.2117,0.18%
27-Oct-16,1.2163,1.2248,1.2271,1.2148,-0.69%
26-Oct-16,1.2248,1.2189,1.2252,1.2155,0.49%
25-Oct-16,1.2188,1.2237,1.2245,1.2083,-0.42%
24-Oct-16,1.2239,1.2224,1.2253,1.2186,0.03%
21-Oct-16,1.2235,1.2254,1.2263,1.2171,-0.14%
20-Oct-16,1.2252,1.2285,1.23,1.221,-0.28%
19-Oct-16,1.2286,1.2297,1.2334,1.2257,-0.10%
18-Oct-16,1.2298,1.218,1.2327,1.2174,0.94%
17-Oct-16,1.2184,1.2188,1.2203,1.2136,-0.02%
14-Oct-16,1.2187,1.2259,1.2263,1.2168,-0.55%
13-Oct-16,1.2255,1.221,1.2275,1.2134,0.38%
12-Oct-16,1.2208,1.2123,1.2328,1.2105,0.70%
11-Oct-16,1.2123,1.2367,1.2378,1.2091,-1.94%
10-Oct-16,1.2363,1.2435,1.2453,1.2347,-0.57%
7-Oct-16,1.2434,1.2616,1.2626,1.1452,-1.44%
6-Oct-16,1.2616,1.2746,1.2761,1.2601,-1.04%
5-Oct-16,1.2748,1.2727,1.2771,1.2683,0.16%
4-Oct-16,1.2728,1.2842,1.2862,1.2717,-0.90%
3-Oct-16,1.2843,1.294,1.2948,1.2817,-1.02%
30-Sep-16,1.2976,1.2969,1.3024,1.2936,0.05%
29-Sep-16,1.2969,1.3016,1.306,1.2952,-0.38%
28-Sep-16,1.3019,1.3023,1.3033,1.2979,-0.02%
27-Sep-16,1.3022,1.2975,1.3027,1.2936,0.35%
26-Sep-16,1.2976,1.2952,1.2988,1.2915,0.02%
23-Sep-16,1.2974,1.3071,1.309,1.2913,-0.80%
22-Sep-16,1.3078,1.3036,1.3125,1.3028,0.39%
21-Sep-16,1.3027,1.2989,1.3048,1.2945,0.30%
20-Sep-16,1.2988,1.3028,1.3064,1.2946,-0.30%
19-Sep-16,1.3027,1.2995,1.3093,1.2992,0.20%
16-Sep-16,1.3001,1.3241,1.3255,1.2998,-1.79%
15-Sep-16,1.3238,1.3232,1.3279,1.3179,0.02%
14-Sep-16,1.3235,1.3191,1.3242,1.3138,0.30%
13-Sep-16,1.3195,1.3337,1.3344,1.3167,-1.07%
12-Sep-16,1.3338,1.3273,1.3351,1.3239,0.54%
9-Sep-16,1.3267,1.3299,1.3341,1.3242,-0.22%
8-Sep-16,1.3296,1.334,1.3377,1.3282,-0.31%
7-Sep-16,1.3338,1.3438,1.3441,1.3317,-0.75%
6-Sep-16,1.3439,1.3304,1.3448,1.3295,1.01%
5-Sep-16,1.3304,1.3299,1.3379,1.3291,0.08%
2-Sep-16,1.3293,1.3272,1.3356,1.3255,0.19%
1-Sep-16,1.3268,1.3139,1.3318,1.3125,0.99%
31-Aug-16,1.3138,1.3077,1.3158,1.3065,0.42%
30-Aug-16,1.3083,1.311,1.3121,1.306,-0.15%
29-Aug-16,1.3103,1.3133,1.314,1.3057,-0.27%
26-Aug-16,1.3139,1.3191,1.3281,1.312,-0.39%
25-Aug-16,1.3191,1.3233,1.3264,1.3166,-0.32%
24-Aug-16,1.3233,1.3193,1.3274,1.316,0.28%
23-Aug-16,1.3196,1.3137,1.3215,1.3131,0.43%
22-Aug-16,1.3139,1.306,1.3158,1.3028,0.49%
